Level1,Level2,Level3,Level4,Level5,Level6,Level7
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,aromatic biogenic amine degradation (bacteria),,,,
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,dopamine degradation,,,,
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,ethanolamine utilization,,,,
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,gamma-butyrobetaine degradation,,,,
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,histamine degradation,,,,
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,isopropylamine degradation,,,,
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,L-proline betaine degradation,,,,
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,phenylethylamine degradation I,,,,
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,phenylethylamine degradation II,,,,
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",,,,
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,superpathway of ornithine degradation,,,,
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,superpathway of phenylethylamine degradation,,,,
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,superpathway of trimethylamine degradation,,,,
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,triethylamine degradation,,,,
Degradation/Utilization/Assimilation,Amines and Polyamines Degradation,trimethylamine degradation,,,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Other Amino Acids Degradation,beta-Alanine Degradation,beta-alanine degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Other Amino Acids Degradation,beta-Alanine Degradation,beta-alanine degradation II,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Other Amino Acids Degradation,D-Amino Acids Degradation,D-arginine degradation,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Other Amino Acids Degradation,D-Amino Acids Degradation,D-serine degradation,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Other Amino Acids Degradation,D-Amino Acids Degradation,D-serine metabolism,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Other Amino Acids Degradation,hydroxy-L-proline Degradation,trans-3-hydroxy-L-proline degradation,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Other Amino Acids Degradation,hydroxy-L-proline Degradation,trans-4-hydroxy-L-proline degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Other Amino Acids Degradation,hydroxy-L-proline Degradation,trans-4-hydroxy-L-proline degradation II,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Other Amino Acids Degradation,L-homoserine Degradation,,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Other Amino Acids Degradation,beta-alanine betaine biosynthesis,,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Other Amino Acids Degradation,L-citrulline degradation,,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Other Amino Acids Degradation,L-dopa degradation,,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Other Amino Acids Degradation,L-ornithine degradation I (L-proline biosynthesis),,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Other Amino Acids Degradation,L-ornithine degradation II (Stickland reaction),,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,Glycine Degradation,creatine biosynthesis,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,Glycine Degradation,glycine cleavage,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-alanine Degradation,L-alanine degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-alanine Degradation,L-alanine degradation II (to D-lactate),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-alanine Degradation,L-alanine degradation III,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-alanine Degradation,L-alanine degradation IV,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,L-arginine degradation I (arginase pathway),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,L-arginine degradation II (AST pathway),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,L-arginine degradation III (arginine decarboxylase/agmatinase pathway),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,L-arginine degradation IX (arginine:pyruvate transaminase pathway),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,L-arginine degradation V (arginine deiminase pathway),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,L-arginine degradation VI (arginase 2 pathway),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,L-arginine degradation VII (arginase 3 pathway),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,L-arginine degradation VIII (arginine oxidase pathway),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,L-arginine degradation X (arginine monooxygenase pathway),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,L-arginine degradation XI,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,L-arginine degradation XII,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,L-citrulline-nitric oxide cycle,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,superpathway of L-arginine and L-ornithine degradation,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-arginine Degradation,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-asparagine Degradation,L-asparagine degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-asparagine Degradation,L-asparagine degradation II,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-asparagine Degradation,L-asparagine degradation III (mammalian),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-aspartate Degradation,L-aspartate degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-aspartate Degradation,L-aspartate degradation II,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-cysteine Degradation,L-cysteine degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-cysteine Degradation,L-cysteine degradation II,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-cysteine Degradation,L-cysteine degradation III,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-glutamate Degradation,GABA shunt,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-glutamate Degradation,L-glutamate degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-glutamate Degradation,L-glutamate degradation II,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-glutamate Degradation,L-glutamate degradation IV,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-glutamate Degradation,L-glutamate degradation IX (via 4-aminobutanoate),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-glutamate Degradation,L-glutamate degradation V (via hydroxyglutarate),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-glutamate Degradation,L-glutamate degradation VI (to pyruvate),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-glutamate Degradation,L-glutamate degradation VII (to butanoate),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-glutamate Degradation,L-glutamate degradation VIII (to propanoate),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-glutamate Degradation,L-glutamate degradation X,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-glutamine Degradation,L-glutamine degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-glutamine Degradation,L-glutamine degradation II,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-histidine Degradation,L-histidine degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-histidine Degradation,L-histidine degradation II,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-histidine Degradation,L-histidine degradation III,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-histidine Degradation,L-histidine degradation IV,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-histidine Degradation,L-histidine degradation V,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-histidine Degradation,L-histidine degradation VI,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-homocysteine Degradation,L-cysteine biosynthesis III (from L-homocysteine),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-isoleucine Degradation,L-isoleucine degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-isoleucine Degradation,L-isoleucine degradation II,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-leucine Degradation,L-leucine degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-leucine Degradation,L-leucine degradation II,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-leucine Degradation,L-leucine degradation III,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-leucine Degradation,leucine degradation IV,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-lysine Degradation,L-lysine degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-lysine Degradation,L-lysine degradation II (L-pipecolate pathway),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-lysine Degradation,L-lysine degradation III,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-lysine Degradation,L-lysine degradation IV,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-lysine Degradation,L-lysine degradation IX,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-lysine Degradation,L-lysine degradation V,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-lysine Degradation,L-lysine degradation VI,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-lysine Degradation,L-lysine degradation VII,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-lysine Degradation,L-lysine degradation VIII,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-lysine Degradation,L-lysine degradation X,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-lysine Degradation,L-lysine degradation XI (mammalian),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-lysine Degradation,L-lysine fermentation to acetate and butanoate,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-lysine Degradation,superpathway of L-lysine degradation,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-methionine Degradation,L-methionine degradation I (to L-homocysteine),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-methionine Degradation,L-methionine degradation II,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-methionine Degradation,L-methionine degradation III,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-methionine Degradation,superpathway of L-methionine salvage and degradation,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-phenylalanine Degradation,L-phenylalanine degradation I (aerobic),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-phenylalanine Degradation,L-phenylalanine degradation II (anaerobic),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-phenylalanine Degradation,L-phenylalanine degradation III,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-phenylalanine Degradation,"L-phenylalanine degradation IV (mammalian, via side chain)",,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-phenylalanine Degradation,L-phenylalanine degradation V,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-proline Degradation,L-proline degradation,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-serine Degradation,L-serine degradation,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-threonine Degradation,L-threonine degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-threonine Degradation,L-threonine degradation II,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-threonine Degradation,L-threonine degradation III (to methylglyoxal),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-threonine Degradation,L-threonine degradation IV,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-threonine Degradation,L-threonine degradation V,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-threonine Degradation,superpathway of L-threonine metabolism,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tryptophan Degradation,L-tryptophan degradation I (via anthranilate),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tryptophan Degradation,L-tryptophan degradation II (via pyruvate),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tryptophan Degradation,L-tryptophan degradation III (eukaryotic),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tryptophan Degradation,L-tryptophan degradation IV (via indole-3-lactate),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tryptophan Degradation,L-tryptophan degradation IX,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tryptophan Degradation,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tryptophan Degradation,L-tryptophan degradation V (side chain pathway),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tryptophan Degradation,L-tryptophan degradation VI (via tryptamine),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tryptophan Degradation,L-tryptophan degradation VII (via indole-3-pyruvate),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tryptophan Degradation,L-tryptophan degradation VIII (to tryptophol),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tryptophan Degradation,"L-tryptophan degradation X (mammalian, via tryptamine)",,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tryptophan Degradation,"L-tryptophan degradation XI (mammalian, via kynurenine)",,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tryptophan Degradation,L-tryptophan degradation XII (Geobacillus),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tyrosine Degradation,L-tyrosine degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tyrosine Degradation,L-tyrosine degradation II,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tyrosine Degradation,L-tyrosine degradation III,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-tyrosine Degradation,L-tyrosine degradation IV (to 4-methylphenol),,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-valine Degradation,L-valine degradation I,,
Degradation/Utilization/Assimilation,Amino Acids Degradation,Proteinogenic Amino Acids Degradation,L-valine Degradation,L-valine degradation II,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,2-Aminobenzoate Degradation,anthranilate degradation I (aerobic),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,2-Aminobenzoate Degradation,anthranilate degradation II (aerobic),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,2-Aminobenzoate Degradation,anthranilate degradation III (anaerobic),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,2-Aminobenzoate Degradation,anthranilate degradation IV (aerobic),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Benzoate Degradation,benzoate degradation I (aerobic),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Benzoate Degradation,benzoate degradation II (aerobic and anaerobic),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Benzoate Degradation,meta cleavage pathway of aromatic compounds,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Benzoyl-CoA Degradation,benzoyl-CoA degradation I (aerobic),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Benzoyl-CoA Degradation,benzoyl-CoA degradation II (anaerobic),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Benzoyl-CoA Degradation,benzoyl-CoA degradation III (anaerobic),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Catechol Degradation,aromatic compounds degradation via beta-ketoadipate,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Catechol Degradation,catechol degradation I (meta-cleavage pathway),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Catechol Degradation,catechol degradation II (meta-cleavage pathway),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Catechol Degradation,catechol degradation III (ortho-cleavage pathway),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Catechol Degradation,catechol degradation to 2-oxopent-4-enoate I,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Catechol Degradation,catechol degradation to 2-oxopent-4-enoate II,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Catechol Degradation,catechol degradation to beta-ketoadipate,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorobenzene Degradation,"1,2,4,5-tetrachlorobenzene degradation",,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorobenzene Degradation,"1,2,4-trichlorobenzene degradation",,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorobenzene Degradation,"1,2-dichlorobenzene degradation",,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorobenzene Degradation,"1,3-dichlorobenzene degradation",,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorobenzene Degradation,"1,4-dichlorobenzene degradation",,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorobenzene Degradation,chlorobenzene degradation,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorobenzoate Degradation,3-Chlorobenzoate Degradation,3-chlorobenzoate degradation I (via chlorocatechol),
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorobenzoate Degradation,3-Chlorobenzoate Degradation,3-chlorobenzoate degradation II (via protocatechuate),
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorobenzoate Degradation,3-Chlorobenzoate Degradation,3-chlorobenzoate degradation III (via gentisate),
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorobenzoate Degradation,2-chlorobenzoate degradation,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorobenzoate Degradation,"3,4-dichlorobenzoate degradation",,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorobenzoate Degradation,4-chlorobenzoate degradation,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorocatechol Degradation,3-Chlorocatechol Degradation,3-chlorocatechol degradation I (ortho),
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorocatechol Degradation,3-Chlorocatechol Degradation,3-chlorocatechol degradation II (ortho),
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorocatechol Degradation,3-Chlorocatechol Degradation,3-chlorocatechol degradation III (meta pathway),
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorocatechol Degradation,"3,4,6-trichlorocatechol degradation",,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorocatechol Degradation,"3,5-dichlorocatechol degradation",,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorocatechol Degradation,"4,5-dichlorocatechol degradation",,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorocatechol Degradation,4-chlorocatechol degradation,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorotoluene Degradation,4 Chlorotoluene Degradation,3-chlorotoluene degradation I,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorotoluene Degradation,5 Chlorotoluene Degradation,3-chlorotoluene degradation II,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorotoluene Degradation,Dichlorotoluene Degradation,"2,4-dichlorotoluene degradation",
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorotoluene Degradation,Dichlorotoluene Degradation,"2,5-dichlorotoluene degradation",
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,Chlorotoluene Degradation,Dichlorotoluene Degradation,"3,4-dichlorotoluene degradation",
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,"2,4,5-trichlorophenoxyacetate degradation",,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,"2,4,6-trichlorophenol degradation",,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,"2,4-dichlorophenoxyacetate degradation",,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,"3,5,6-trichloro-2-pyridinol degradation",,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,4-chloro-2-methylphenoxyacetate degradation,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,5-chloro-3-methyl-catechol degradation,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,butachlor degradation,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,chlorinated phenols degradation,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,chlorosalicylate degradation,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Chloroaromatic Compounds Degradation,linuron degradation,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Fluorene Degradation,fluorene degradation I,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Fluorene Degradation,fluorene degradation II,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Gallate Degradation,gallate degradation I,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Gallate Degradation,gallate degradation II,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Gallate Degradation,gallate degradation III (anaerobic),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,gamma-Resorcylate Degradation,gamma-resorcylate degradation I,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,gamma-Resorcylate Degradation,gamma-resorcylate degradation II,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Gentisate Degradation,gentisate degradation I,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Gentisate Degradation,gentisate degradation II,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Mandelates Degradation,mandelate degradation I,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Mandelates Degradation,mandelate degradation to acetyl-CoA,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Naphthalene Degradation,naphthalene degradation (aerobic),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Naphthalene Degradation,naphthalene degradation (anaerobic),,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Nicotinate Degradation,nicotinate degradation I,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Nicotinate Degradation,nicotinate degradation II,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Nicotinate Degradation,nicotinate degradation III,,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Nitroaromatic Compounds Degradation,Dinitrotoluene Degradation,1-chloro-2-nitrobenzene degradation,,
Degradation/Utilization/Assimilation,Aromatic Compounds Degradation,Nitroaromatic Compounds Degradation,Dinitrotoluene Degradation,"2,4-dinitrotoluene degradation",,
